,columns,missing values count
0,Wafer,0
1,Sensor - 1,0
2,Sensor - 2,2
3,Sensor - 3,3
4,Sensor - 4,3
5,Sensor - 5,3
6,Sensor - 6,3
7,Sensor - 7,3
8,Sensor - 8,5
9,Sensor - 9,0
10,Sensor - 10,0
11,Sensor - 11,0
12,Sensor - 12,0
13,Sensor - 13,0
14,Sensor - 14,0
15,Sensor - 15,0
16,Sensor - 16,0
17,Sensor - 17,0
18,Sensor - 18,0
19,Sensor - 19,0
20,Sensor - 20,0
21,Sensor - 21,0
22,Sensor - 22,0
23,Sensor - 23,0
24,Sensor - 24,0
25,Sensor - 25,0
26,Sensor - 26,0
27,Sensor - 27,0
28,Sensor - 28,0
29,Sensor - 29,0
30,Sensor - 30,0
31,Sensor - 31,0
32,Sensor - 32,0
33,Sensor - 33,0
34,Sensor - 34,0
35,Sensor - 35,0
36,Sensor - 36,0
37,Sensor - 37,0
38,Sensor - 38,0
39,Sensor - 39,0
40,Sensor - 40,0
41,Sensor - 41,6
42,Sensor - 42,6
43,Sensor - 43,0
44,Sensor - 44,0
45,Sensor - 45,0
46,Sensor - 46,0
47,Sensor - 47,0
48,Sensor - 48,0
49,Sensor - 49,0
50,Sensor - 50,0
51,Sensor - 51,0
52,Sensor - 52,0
53,Sensor - 53,0
54,Sensor - 54,0
55,Sensor - 55,0
56,Sensor - 56,0
57,Sensor - 57,0
58,Sensor - 58,0
59,Sensor - 59,0
60,Sensor - 60,3
61,Sensor - 61,3
62,Sensor - 62,3
63,Sensor - 63,3
64,Sensor - 64,3
65,Sensor - 65,3
66,Sensor - 66,3
67,Sensor - 67,3
68,Sensor - 68,3
69,Sensor - 69,3
70,Sensor - 70,3
71,Sensor - 71,3
72,Sensor - 72,3
73,Sensor - 73,161
74,Sensor - 74,161
75,Sensor - 75,3
76,Sensor - 76,0
77,Sensor - 77,0
78,Sensor - 78,0
79,Sensor - 79,0
80,Sensor - 80,0
81,Sensor - 81,0
82,Sensor - 82,0
83,Sensor - 83,0
84,Sensor - 84,0
85,Sensor - 85,2
86,Sensor - 86,226
87,Sensor - 87,0
88,Sensor - 88,0
89,Sensor - 89,0
90,Sensor - 90,0
91,Sensor - 91,0
92,Sensor - 92,1
93,Sensor - 93,1
94,Sensor - 94,1
95,Sensor - 95,1
96,Sensor - 96,1
97,Sensor - 97,1
98,Sensor - 98,1
99,Sensor - 99,1
100,Sensor - 100,1
101,Sensor - 101,1
102,Sensor - 102,1
103,Sensor - 103,1
104,Sensor - 104,1
105,Sensor - 105,1
106,Sensor - 106,1
107,Sensor - 107,1
108,Sensor - 108,1
109,Sensor - 109,1
110,Sensor - 110,102
111,Sensor - 111,102
112,Sensor - 112,102
113,Sensor - 113,189
114,Sensor - 114,0
115,Sensor - 115,0
116,Sensor - 116,0
117,Sensor - 117,0
118,Sensor - 118,0
119,Sensor - 119,0
120,Sensor - 120,0
121,Sensor - 121,0
122,Sensor - 122,0
123,Sensor - 123,0
124,Sensor - 124,0
125,Sensor - 125,0
126,Sensor - 126,0
127,Sensor - 127,0
128,Sensor - 128,0
129,Sensor - 129,0
130,Sensor - 130,0
131,Sensor - 131,0
132,Sensor - 132,0
133,Sensor - 133,0
134,Sensor - 134,0
135,Sensor - 135,0
136,Sensor - 136,0
137,Sensor - 137,0
138,Sensor - 138,2
139,Sensor - 139,3
140,Sensor - 140,3
141,Sensor - 141,3
142,Sensor - 142,3
143,Sensor - 143,3
144,Sensor - 144,5
145,Sensor - 145,0
146,Sensor - 146,0
147,Sensor - 147,0
148,Sensor - 148,0
149,Sensor - 149,0
150,Sensor - 150,0
151,Sensor - 151,0
152,Sensor - 152,0
153,Sensor - 153,0
154,Sensor - 154,0
155,Sensor - 155,0
156,Sensor - 156,0
157,Sensor - 157,0
158,Sensor - 158,275
159,Sensor - 159,275
160,Sensor - 160,0
161,Sensor - 161,0
162,Sensor - 162,0
163,Sensor - 163,0
164,Sensor - 164,0
165,Sensor - 165,0
166,Sensor - 166,0
167,Sensor - 167,0
168,Sensor - 168,0
169,Sensor - 169,0
170,Sensor - 170,0
171,Sensor - 171,0
172,Sensor - 172,0
173,Sensor - 173,0
174,Sensor - 174,0
175,Sensor - 175,0
176,Sensor - 176,0
177,Sensor - 177,0
178,Sensor - 178,0
179,Sensor - 179,6
180,Sensor - 180,0
181,Sensor - 181,0
182,Sensor - 182,0
183,Sensor - 183,0
184,Sensor - 184,0
185,Sensor - 185,0
186,Sensor - 186,0
187,Sensor - 187,0
188,Sensor - 188,0
189,Sensor - 189,0
190,Sensor - 190,0
191,Sensor - 191,0
192,Sensor - 192,0
193,Sensor - 193,0
194,Sensor - 194,0
195,Sensor - 195,0
196,Sensor - 196,0
197,Sensor - 197,3
198,Sensor - 198,3
199,Sensor - 199,3
200,Sensor - 200,3
201,Sensor - 201,3
202,Sensor - 202,3
203,Sensor - 203,3
204,Sensor - 204,3
205,Sensor - 205,3
206,Sensor - 206,3
207,Sensor - 207,3
208,Sensor - 208,3
209,Sensor - 209,3
210,Sensor - 210,3
211,Sensor - 211,0
212,Sensor - 212,0
213,Sensor - 213,0
214,Sensor - 214,0
215,Sensor - 215,0
216,Sensor - 216,0
217,Sensor - 217,0
218,Sensor - 218,0
219,Sensor - 219,0
220,Sensor - 220,2
221,Sensor - 221,226
222,Sensor - 222,0
223,Sensor - 223,0
224,Sensor - 224,0
225,Sensor - 225,0
226,Sensor - 226,0
227,Sensor - 227,1
228,Sensor - 228,1
229,Sensor - 229,1
230,Sensor - 230,1
231,Sensor - 231,1
232,Sensor - 232,1
233,Sensor - 233,1
234,Sensor - 234,1
235,Sensor - 235,1
236,Sensor - 236,1
237,Sensor - 237,1
238,Sensor - 238,1
239,Sensor - 239,1
240,Sensor - 240,1
241,Sensor - 241,1
242,Sensor - 242,1
243,Sensor - 243,1
244,Sensor - 244,1
245,Sensor - 245,102
246,Sensor - 246,102
247,Sensor - 247,102
248,Sensor - 248,189
249,Sensor - 249,0
250,Sensor - 250,0
251,Sensor - 251,0
252,Sensor - 252,0
253,Sensor - 253,0
254,Sensor - 254,0
255,Sensor - 255,0
256,Sensor - 256,0
257,Sensor - 257,0
258,Sensor - 258,0
259,Sensor - 259,0
260,Sensor - 260,0
261,Sensor - 261,0
262,Sensor - 262,0
263,Sensor - 263,0
264,Sensor - 264,0
265,Sensor - 265,0
266,Sensor - 266,0
267,Sensor - 267,0
268,Sensor - 268,0
269,Sensor - 269,0
270,Sensor - 270,0
271,Sensor - 271,0
272,Sensor - 272,0
273,Sensor - 273,2
274,Sensor - 274,3
275,Sensor - 275,3
276,Sensor - 276,3
277,Sensor - 277,3
278,Sensor - 278,3
279,Sensor - 279,5
280,Sensor - 280,0
281,Sensor - 281,0
282,Sensor - 282,0
283,Sensor - 283,0
284,Sensor - 284,0
285,Sensor - 285,0
286,Sensor - 286,0
287,Sensor - 287,0
288,Sensor - 288,0
289,Sensor - 289,0
290,Sensor - 290,0
291,Sensor - 291,0
292,Sensor - 292,0
293,Sensor - 293,275
294,Sensor - 294,275
295,Sensor - 295,0
296,Sensor - 296,0
297,Sensor - 297,0
298,Sensor - 298,0
299,Sensor - 299,0
300,Sensor - 300,0
301,Sensor - 301,0
302,Sensor - 302,0
303,Sensor - 303,0
304,Sensor - 304,0
305,Sensor - 305,0
306,Sensor - 306,0
307,Sensor - 307,0
308,Sensor - 308,0
309,Sensor - 309,0
310,Sensor - 310,0
311,Sensor - 311,0
312,Sensor - 312,0
313,Sensor - 313,0
314,Sensor - 314,6
315,Sensor - 315,6
316,Sensor - 316,0
317,Sensor - 317,0
318,Sensor - 318,0
319,Sensor - 319,0
320,Sensor - 320,0
321,Sensor - 321,0
322,Sensor - 322,0
323,Sensor - 323,0
324,Sensor - 324,0
325,Sensor - 325,0
326,Sensor - 326,0
327,Sensor - 327,0
328,Sensor - 328,0
329,Sensor - 329,0
330,Sensor - 330,0
331,Sensor - 331,0
332,Sensor - 332,0
333,Sensor - 333,3
334,Sensor - 334,3
335,Sensor - 335,3
336,Sensor - 336,3
337,Sensor - 337,3
338,Sensor - 338,3
339,Sensor - 339,3
340,Sensor - 340,3
341,Sensor - 341,3
342,Sensor - 342,3
343,Sensor - 343,3
344,Sensor - 344,3
345,Sensor - 345,3
346,Sensor - 346,161
347,Sensor - 347,161
348,Sensor - 348,3
349,Sensor - 349,0
350,Sensor - 350,0
351,Sensor - 351,0
352,Sensor - 352,0
353,Sensor - 353,0
354,Sensor - 354,0
355,Sensor - 355,0
356,Sensor - 356,0
357,Sensor - 357,0
358,Sensor - 358,2
359,Sensor - 359,226
360,Sensor - 360,0
361,Sensor - 361,0
362,Sensor - 362,0
363,Sensor - 363,0
364,Sensor - 364,0
365,Sensor - 365,1
366,Sensor - 366,1
367,Sensor - 367,1
368,Sensor - 368,1
369,Sensor - 369,1
370,Sensor - 370,1
371,Sensor - 371,1
372,Sensor - 372,1
373,Sensor - 373,1
374,Sensor - 374,1
375,Sensor - 375,1
376,Sensor - 376,1
377,Sensor - 377,1
378,Sensor - 378,1
379,Sensor - 379,1
380,Sensor - 380,1
381,Sensor - 381,1
382,Sensor - 382,1
383,Sensor - 383,102
384,Sensor - 384,102
385,Sensor - 385,102
386,Sensor - 386,189
387,Sensor - 387,0
388,Sensor - 388,0
389,Sensor - 389,0
390,Sensor - 390,0
391,Sensor - 391,0
392,Sensor - 392,0
393,Sensor - 393,0
394,Sensor - 394,0
395,Sensor - 395,0
396,Sensor - 396,0
397,Sensor - 397,0
398,Sensor - 398,0
399,Sensor - 399,0
400,Sensor - 400,0
401,Sensor - 401,0
402,Sensor - 402,0
403,Sensor - 403,0
404,Sensor - 404,0
405,Sensor - 405,0
406,Sensor - 406,0
407,Sensor - 407,0
408,Sensor - 408,0
409,Sensor - 409,0
410,Sensor - 410,0
411,Sensor - 411,2
412,Sensor - 412,3
413,Sensor - 413,3
414,Sensor - 414,3
415,Sensor - 415,3
416,Sensor - 416,3
417,Sensor - 417,5
418,Sensor - 418,0
419,Sensor - 419,0
420,Sensor - 420,0
421,Sensor - 421,0
422,Sensor - 422,0
423,Sensor - 423,0
424,Sensor - 424,0
425,Sensor - 425,0
426,Sensor - 426,0
427,Sensor - 427,0
428,Sensor - 428,0
429,Sensor - 429,0
430,Sensor - 430,0
431,Sensor - 431,0
432,Sensor - 432,0
433,Sensor - 433,0
434,Sensor - 434,0
435,Sensor - 435,0
436,Sensor - 436,0
437,Sensor - 437,0
438,Sensor - 438,0
439,Sensor - 439,0
440,Sensor - 440,0
441,Sensor - 441,0
442,Sensor - 442,0
443,Sensor - 443,0
444,Sensor - 444,0
445,Sensor - 445,0
446,Sensor - 446,0
447,Sensor - 447,0
448,Sensor - 448,0
449,Sensor - 449,0
450,Sensor - 450,6
451,Sensor - 451,6
452,Sensor - 452,0
453,Sensor - 453,0
454,Sensor - 454,0
455,Sensor - 455,0
456,Sensor - 456,0
457,Sensor - 457,0
458,Sensor - 458,0
459,Sensor - 459,0
460,Sensor - 460,0
461,Sensor - 461,0
462,Sensor - 462,0
463,Sensor - 463,0
464,Sensor - 464,0
465,Sensor - 465,0
466,Sensor - 466,0
467,Sensor - 467,0
468,Sensor - 468,0
469,Sensor - 469,3
470,Sensor - 470,3
471,Sensor - 471,3
472,Sensor - 472,3
473,Sensor - 473,3
474,Sensor - 474,3
475,Sensor - 475,3
476,Sensor - 476,3
477,Sensor - 477,3
478,Sensor - 478,3
479,Sensor - 479,3
480,Sensor - 480,3
481,Sensor - 481,3
482,Sensor - 482,3
483,Sensor - 483,0
484,Sensor - 484,0
485,Sensor - 485,0
486,Sensor - 486,0
487,Sensor - 487,0
488,Sensor - 488,0
489,Sensor - 489,0
490,Sensor - 490,0
491,Sensor - 491,0
492,Sensor - 492,2
493,Sensor - 493,226
494,Sensor - 494,0
495,Sensor - 495,0
496,Sensor - 496,0
497,Sensor - 497,0
498,Sensor - 498,0
499,Sensor - 499,1
500,Sensor - 500,1
501,Sensor - 501,1
502,Sensor - 502,1
503,Sensor - 503,1
504,Sensor - 504,1
505,Sensor - 505,1
506,Sensor - 506,1
507,Sensor - 507,1
508,Sensor - 508,1
509,Sensor - 509,1
510,Sensor - 510,1
511,Sensor - 511,1
512,Sensor - 512,1
513,Sensor - 513,1
514,Sensor - 514,1
515,Sensor - 515,1
516,Sensor - 516,1
517,Sensor - 517,102
518,Sensor - 518,102
519,Sensor - 519,102
520,Sensor - 520,189
521,Sensor - 521,0
522,Sensor - 522,0
523,Sensor - 523,0
524,Sensor - 524,0
525,Sensor - 525,0
526,Sensor - 526,0
527,Sensor - 527,0
528,Sensor - 528,0
529,Sensor - 529,0
530,Sensor - 530,0
531,Sensor - 531,0
532,Sensor - 532,0
533,Sensor - 533,0
534,Sensor - 534,0
535,Sensor - 535,0
536,Sensor - 536,0
537,Sensor - 537,0
538,Sensor - 538,0
539,Sensor - 539,0
540,Sensor - 540,0
541,Sensor - 541,0
542,Sensor - 542,0
543,Sensor - 543,0
544,Sensor - 544,0
545,Sensor - 545,0
546,Sensor - 546,0
547,Sensor - 547,4
548,Sensor - 548,4
549,Sensor - 549,4
550,Sensor - 550,4
551,Sensor - 551,4
552,Sensor - 552,4
553,Sensor - 553,4
554,Sensor - 554,4
555,Sensor - 555,4
556,Sensor - 556,4
557,Sensor - 557,4
558,Sensor - 558,4
559,Sensor - 559,0
560,Sensor - 560,0
561,Sensor - 561,0
562,Sensor - 562,0
563,Sensor - 563,4
564,Sensor - 564,4
565,Sensor - 565,4
566,Sensor - 566,4
567,Sensor - 567,4
568,Sensor - 568,4
569,Sensor - 569,4
570,Sensor - 570,4
571,Sensor - 571,0
572,Sensor - 572,0
573,Sensor - 573,0
574,Sensor - 574,0
575,Sensor - 575,0
576,Sensor - 576,0
577,Sensor - 577,0
578,Sensor - 578,0
579,Sensor - 579,196
580,Sensor - 580,196
581,Sensor - 581,196
582,Sensor - 582,196
583,Sensor - 583,0
584,Sensor - 584,0
585,Sensor - 585,0
586,Sensor - 586,0
587,Sensor - 587,0
588,Sensor - 588,0
589,Sensor - 589,0
590,Sensor - 590,0
